well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct,avg_hz_spacing_ft_unw,avg_vt_spacing_ft_unw
42501371250000,2042.0439744009816,22.053620077707336,5,1.0,2080.047769544463,21.848999999999798
42501371260000,2041.648268248803,43.69760558141668,3,1.0,1987.0683245868743,46.53166666666706
42501371270000,2899.2885370398008,60.33913709023742,12,1.0,2901.011274545643,60.23416666666625
42501371280000,1531.9699378554978,13.179170621888813,5,1.0,1662.5065009770192,14.302999999999884
42501371310000,,,0,,,
42501371350000,2565.5646392715357,37.14406005948908,5,1.0,2596.0193010625217,35.964000000000304
42501371370000,2618.703422837773,11.676468731421663,9,1.0,2629.7067884090116,11.644111111111064
42501371380000,2683.7544094302443,11.347963226731911,9,1.0,2692.4346963830867,11.320555555555579
42501371400000,2364.7551372663056,42.11700858142622,15,1.0,2454.4168689012563,43.86576666666648
42501371410000,2766.03867728314,15.37139144294843,17,1.0,2749.059029726962,16.455411764705733
42501371450000,1698.593926013191,48.36103523715294,8,1.0,1752.0046726529304,47.420312500000136
42501371460000,2555.3133724756417,20.68271881576775,11,1.0,2657.0934984820924,20.42568181818189
42501371490000,2545.852139354629,24.24684017145396,15,1.0,2556.759185870504,24.561566666666963
42501371500000,2585.5002229332244,252.24954816092725,15,1.0,2619.7318588433427,256.22743333333364
42501371510000,2667.1968932617137,15.174587453448117,14,1.0,2713.42929947729,14.928535714285706
42501371520000,2127.980306990527,812.150015680927,10,1.0,2126.4144943060433,1115.2448500000003
42501371530000,3011.6255793573346,38.228540699195555,10,1.0,3050.6462661649844,38.12735000000002
42501371540000,2824.2272267757617,29.404165927520065,9,1.0,2836.306710931362,29.552499999999984
42501371550000,2288.7910420469398,18.495814235625893,13,1.0,2625.7309172459145,20.315346153846104
42501371560000,2457.5152651374747,20.537393862973882,12,1.0,2628.9857348006185,22.924541666666755
42501371570000,2634.805884252332,29.373979607188733,11,1.0,2678.0833163013017,28.749681818181173
42501371580000,2357.795506170479,25.549241749799943,15,1.0,2371.359694413543,25.610566666666635
42501371580100,2552.9439127565734,23.51793771216967,16,1.0,2551.534292586318,23.520218750000026
42501371590000,2520.946358732012,33.15854670231671,12,1.0,2555.461850714883,32.31637500000064
42501371600000,2762.6920167187777,33.99251914578291,9,1.0,2775.2070080822773,34.15572222222181
42501371610000,2447.3496359389146,258.81428027638617,14,1.0,2459.013548158718,271.07028571428594
42501371620000,2568.6013991333984,242.39122918743954,15,1.0,2587.7551634292954,254.1813000000002
42501371630000,2787.5049523586395,237.67860902500038,15,1.0,2756.075954668472,252.44576666666683
42501371680000,2778.739464635567,28.932309428894726,10,1.0,2815.4424822328947,28.975350000000255
42501371710000,2893.1908347494377,21.6184126411889,10,1.0,2901.295284483292,21.690999999999985
42501371740000,2314.0307866418366,21.378923101105688,12,1.0,2341.007234485986,20.904041666666824
42501371750000,2321.094948338753,65.55276873617773,8,1.0,2383.300432486385,67.73100000000022
42501371760000,2440.5454770598335,55.96418098742779,10,1.0,2430.735735856651,57.86655000000037
42501371790000,2748.4067227892388,34.37675430990538,10,1.0,2790.0502470215833,34.74835000000057
42501371800000,2829.9050030291764,55.19895162152428,11,1.0,2942.9000752595744,55.06168181818173
42501371820000,3195.9994261675574,18.94007655564188,10,1.0,3228.855025874666,20.00069999999987
42501371830000,2774.7680317397976,23.583715410481513,16,1.0,2820.530940725148,24.06378124999941
42501371840000,2773.4108712679226,14.41486043028375,16,1.0,2832.2474585246823,14.278218749999724
42501371850000,2912.3386408913348,26.939126637062262,16,1.0,2916.7514778839254,27.16981249999958
42501371870000,3457.19935862942,34.92570646668269,11,1.0,3309.6424555925523,31.395454545454744
42501371880000,1968.954264563306,47.999705956368096,8,1.0,2032.4926934727243,49.04700000000025
42501371890000,2643.7530697839443,43.92521431273171,4,1.0,2637.0262840744663,44.031874999999445
42501371900000,2349.127998740598,25.096969406738836,13,1.0,2349.6282787943333,24.32796153846168
42501371910000,2753.64050745285,30.68176797372073,14,1.0,2736.691418229467,30.616499999999892
42501371910100,2980.077172303001,27.192605736962435,15,1.0,2894.00291060965,27.213466666666683
42501371920000,2522.352724879831,23.76842360424464,15,1.0,2510.4032171784643,23.244633333333514
42501371930000,2836.1405260081074,45.99517109257521,5,1.0,2826.6302864315744,45.36889999999967
42501371940000,2713.5202325021214,17.622287029992826,10,1.0,2751.650716863268,17.55059999999985
42501371950000,2623.7714429234807,18.69641222361198,9,1.0,2634.621774614459,18.63283333333311
42501371970000,2401.7716760488697,94.15426871029354,7,1.0,2450.4721255621275,93.13350000000017
42501371980000,2044.0114574763584,14.690279518208284,9,1.0,2068.7427062397696,14.621333333333293
42501371990000,2725.8146282519338,22.534144668853564,20,1.0,3029.017463053773,28.199250000000028
42501372000000,2671.670420349584,16.15979744884696,17,1.0,2895.1521920601504,16.102205882352845
42501372010000,2451.9528649143595,23.152203082137703,14,1.0,2632.948116365158,21.43557142857136
42501372020000,2694.2845113634125,26.155637028367476,15,1.0,2826.43934211438,25.346099999999872
42501372030000,1541.1978356353889,14.679645484467526,5,1.0,1664.6111867467655,16.025
42501372040000,3911.8710863204683,8.878547488067076,2,1.0,3937.447801165232,8.590250000000196
42501372080000,3119.6249953355473,41.092798295024274,12,1.0,3158.3286637992915,41.057749999999565
42501372100000,1448.5696427227717,10.196400872768711,3,1.0,1498.2791116551343,10.194833333333008
42501372110000,2156.3548561963235,19.726182743519104,3,1.0,2240.9166548264498,20.197833333333012
42501372170000,2941.467448923348,18.856998376780652,10,1.0,2987.1229190559147,18.51624999999958
