well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct
42003479810000,1017.815339462469,41.753343225060846,2,1.0
42003479820000,950.0594743308693,31.958803406671674,2,1.0
42003479830000,929.9105636505392,23.909386859351702,2,1.0
42003479840000,867.9791668930335,20.312957656306104,2,1.0
42003479850000,771.952746004052,34.01655364837733,3,1.0
42003479860000,833.9772776397994,48.37384509149253,2,1.0
42003479980000,891.9669016066784,30.341897581147556,2,1.0
42003479990000,863.7900740539357,16.20187648740702,2,1.0
42003480000000,902.639097226127,19.210089098914857,2,1.0
42003480030000,915.1423093984428,7.8234129383092705,2,1.0
42003480040000,923.3232077676297,2.3413125347020984,2,1.0
42003480050000,783.0815993980225,14.8839839871626,2,1.0
42003480090000,876.3867274436521,7.3360130083269866,2,1.0
42003480100000,914.0096299469179,15.397736764823787,2,1.0
42003480110000,867.910563331634,13.388405596490124,2,1.0
42003480430000,978.6648076834402,24.78267780116977,2,1.0
42003480460000,,,0,
