well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
42003467280000,4,3,3,0.75,-1.0,163.60106727040824,2336750.5940483278,11756084.926806772
42003467350000,8,8,8,1.0,0.0,345.4997354871716,2319969.7062530303,11701244.982347365
42003467480000,1,1,1,1.0,0.0,164.6034310078013,2307710.0710895495,11699013.425437186
42003467500000,6,5,5,0.8333333333333334,-1.0,342.83157538330425,2358776.360360493,11678536.003494699
42003467540000,7,7,6,1.0,0.0,343.5272512965205,2379285.834941024,11679337.028893836
42003467780000,4,3,3,0.75,-1.0,164.36423541296082,2347786.7787785167,11653496.64473981
42003467790000,1,1,1,1.0,0.0,342.54775122225305,2336462.5593693554,11790097.102277268
42003468470000,4,3,3,0.75,-1.0,342.7181215325021,2341874.162652631,11757715.49129678
42003468520000,2,2,2,1.0,0.0,166.57788253152916,2378964.959506301,11729184.807429438
42003468560100,1,1,1,1.0,0.0,166.24170055729326,2368141.9213867052,11671608.988672778
42003468760000,3,2,2,0.6666666666666666,-1.0,345.65263337321306,2309310.0171794994,11676456.384123463
42003468770000,7,5,6,0.7142857142857143,-2.0,342.9805310063118,2355967.31101312,11678202.845508715
42003468780000,4,2,2,0.5,-2.0,342.6960059058013,2387028.998580289,11794273.913546927
42003468830000,2,2,2,1.0,0.0,165.11968791662963,2356823.0579846343,11754877.457551692
42003468970000,6,5,5,0.8333333333333334,-1.0,342.2475084744887,2346325.5734748747,11776463.846534487
42003469040200,7,8,8,1.1428571428571428,1.0,346.68832690390576,2377979.4917654945,11675071.136136713
42003469130000,7,6,6,0.8571428571428571,-1.0,342.6231904846452,2343738.837828041,11775701.378948452
42003469180000,6,5,5,0.8333333333333334,-1.0,342.4141276055153,2337626.883862455,11768316.544106456
42003469250000,6,7,7,1.1666666666666667,1.0,165.94996331545883,2348710.6044253823,11767538.137731843
42003469280000,7,7,7,1.0,0.0,162.03745117453286,2376550.8919424843,11774124.901261948
42003469510000,3,3,3,1.0,0.0,164.39343711199157,2346628.1678591063,11652666.34458043
42003469510001,3,3,3,1.0,0.0,164.39343711199157,2346628.1678591063,11652666.34458043
42003469530000,7,6,6,0.8571428571428571,-1.0,343.014620441919,2340659.6375540122,11774796.622778894
42003469880000,2,2,2,1.0,0.0,345.940347836113,2339029.5429350305,11666090.132063035
42003469910000,3,2,2,0.6666666666666666,-1.0,164.52159395176886,2309041.097357954,11687099.089408722
42003469920000,4,4,4,1.0,0.0,164.30663790495572,2310390.4374170755,11687439.587735802
42003469930000,7,6,6,0.8571428571428571,-1.0,342.3459930275286,2374238.633192585,11778932.705901496
42003469980000,6,6,6,1.0,0.0,161.64532290013267,2375764.1028210465,11773844.491889138
42003470000000,7,8,8,1.1428571428571428,1.0,345.1286842272829,2414524.815906319,11694759.03637914
42003470010000,7,7,7,1.0,0.0,164.72503894241743,2383842.9381709797,11676007.708888993
42003470130000,6,5,5,0.8333333333333334,-1.0,343.1745380108147,2380226.094114231,11680863.158679387
42003470160100,7,5,5,0.7142857142857143,-2.0,343.08996100241404,2415499.863553391,11695446.281282607
42003470470000,4,3,3,0.75,-1.0,343.7642130443833,2315013.395116288,11694174.77583174
42003470600000,2,2,2,1.0,0.0,166.9024385282244,2377440.9882739503,11728757.330049597
42003470810000,2,1,1,0.5,-1.0,345.7520993717571,2310273.751153635,11692685.024259016
42003470830000,3,3,3,1.0,0.0,343.8449081134599,2313910.3159560463,11693872.036908349
42003470850000,4,3,3,0.75,-1.0,166.29660905213723,2363771.6848995984,11809048.649685424
42003470860000,6,5,5,0.8333333333333334,-1.0,345.3798629298931,2362452.812983245,11814296.612988938
42003470900000,13,12,12,0.9230769230769231,-1.0,170.91475975413096,2407687.7818258572,11687547.952351285
42003471090000,3,4,3,1.3333333333333333,1.0,165.1661975352448,2373214.2950792164,11760889.154323712
42003471100000,5,4,4,0.8,-1.0,342.7046079885383,2384354.575758159,11793592.173655514
